調查日期,國道名稱,國道編號,方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/4/28,國道五號,N0050,往北,001K+050,1050,313871.331,2769425.116,121.6329189,25.03158376,柔性,7.735,7.735,2,3.428,3.578,0,0,0,0,無,0,無,0.364,無,0.365,無,0,無,0,無,0,無,2555.965,-0.005,0.016
2022/4/28,國道五號,N0050,往北,001K+100,1100,313917.259,2769393.072,121.6333725,25.03129253,柔性,7.663,7.663,2,3.435,3.486,0,0,0,0,無,0,無,0.383,無,0.359,無,0,無,0,無,0,無,2189.847,-0.005,0.016
2022/4/28,國道五號,N0050,往北,001K+150,1150,313955.641,2769362.112,121.6337514,25.03101141,柔性,7.648,7.648,2,3.397,3.543,0,0,0,0,無,0,無,0.354,無,0.354,無,0,無,0,無,0,無,2163.267,-0.005,0.021
2022/4/28,國道五號,N0050,往北,001K+200,1200,313994.942,2769332.287,121.6341395,25.0307405,柔性,7.651,7.651,2,3.467,3.524,0,0,0,0,無,0,無,0.327,無,0.332,無,0,無,0,無,0,無,2304.62,-0.005,0.017
2022/4/28,國道五號,N0050,往北,001K+250,1250,314032.186,2769299.72,121.634507,25.03044492,柔性,7.82,7.82,2,3.429,3.668,0,0,0,0,無,0,無,0.381,無,0.342,無,0,無,0,無,0,無,2540.59,-0.005,0.019
2022/4/28,國道五號,N0050,往北,001K+300,1300,314070.188,2769268.062,121.6348821,25.0301575,柔性,7.777,7.777,2,3.546,3.54,0,0,0,0,無,0,無,0.344,無,0.348,無,0,無,0,無,0,無,1929.014,-0.005,0.019
2022/4/28,國道五號,N0050,往北,001K+350,1350,314106.579,2769233.236,121.635241,25.02984156,柔性,7.755,7.755,2,3.443,3.574,0,0,0,0,無,0,無,0.342,無,0.396,無,0,無,0,無,0,無,2652.734,-0.005,0.021
2022/4/28,國道五號,N0050,往北,001K+400,1400,314143.635,2769199.113,121.6356066,25.02953194,柔性,7.658,7.658,2,3.412,3.51,0,0,0,0,無,0,無,0.363,無,0.373,無,0,無,0,無,0,無,1928.125,-0.003,0.027
2022/4/28,國道五號,N0050,往北,001K+450,1450,314177.797,2769163.566,121.6359435,25.02920958,柔性,7.736,7.736,2,3.491,3.524,0,0,0,0,無,0,無,0.364,無,0.357,無,0,無,0,無,0,無,2635.002,-0.004,0.02
2022/4/28,國道五號,N0050,往北,001K+500,1500,314212.748,2769128.786,121.6362882,25.02889411,柔性,7.794,7.794,2,3.452,3.605,0,0,0,0,無,0,無,0.386,無,0.35,無,0,無,0,無,0,無,2187.787,-0.005,0.019
