調查日期,國道名稱,國道編號,方向 ,樁號,里程,匝道編號,匝道編號 (舊),交流道名稱,匝道中文描述,出入國道,鋪面種類,與匝道起點距離,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,槽化區,槽化區寬,方位角,曲率半徑,縱向坡度,橫向坡度
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,260,312709.067,2769855.222,121.62142182,25.03551527,7.270,1,4.534,0.000,0.000,0.000,無,0.000,1.623,140.459,0.035,-0.08
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,270,312718.780,2769854.682,121.62151804,25.03550999,7.310,1,4.474,0.000,0.000,0.000,無,0.000,1.694,215.096,0.022,-0.07
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,280,312728.398,2769853.382,121.62161329,25.03549786,6.390,1,4.547,0.000,0.000,0.000,有,1.220,1.741,241.641,0.013,-0.07
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,290,312738.082,2769851.744,121.62170918,25.03548267,6.310,1,4.489,0.000,0.000,0.000,有,0.840,1.782,358.107,0.016,-0.06
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,300,312747.869,2769849.688,121.62180606,25.03546371,6.280,1,4.496,0.000,0.000,0.000,有,0.530,1.810,311.634,0.014,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,310,312757.343,2769846.984,121.62189981,25.03543890,6.650,1,4.492,0.000,0.000,0.000,有,0.280,1.842,417.897,0.01,-0.04
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,320,312766.749,2769843.939,121.62199288,25.03541102,7.090,1,4.578,0.000,0.000,0.000,有,0.190,1.866,2361.193,0.008,-0.05
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,330,312776.113,2769840.759,121.62208553,25.03538193,7.380,1,4.502,0.000,0.000,0.000,有,0.100,1.871,1126.872,0.008,-0.04
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,340,312785.559,2769837.457,121.62217898,25.03535172,7.740,1,4.506,0.000,0.000,0.000,有,0.010,1.879,1311.816,0.011,-0.03
2022/4/28,國道三號,N0030,往北,016K+000,16000,300016NEA0A,13,南港系統交流道,國道3號北上接國道5號南下,出,柔性,350,312794.916,2769834.191,121.62227155,25.03532185,7.930,1,4.356,0.000,0.000,0.000,無,0.000,1.887,159709.000,0.014,-0.02
